問題,答え,誤り,誤り2,種類,難易度,
,,,,なぞなぞ,☆☆☆☆☆,
幼稚園、大学生の中で一番大きいのはどれでしょうか？,幼稚園,大学生,,ひっかけ,★★☆☆☆,
カエルが10匹並んでいます。その中で一番小さなカエルは大人か子どもかどちらでしょうか？,大人,子ども,,,★★★☆☆,
百から一を引くと何になるでしょうか？,白,99,,,★★★☆☆,問題数
100を半分で割って10を足しました。いくつになったでしょうか？,12,60,,,★★★★☆,40
あなたは100段以上もある階段から飛び降りました。しかし、一切怪我をしていません。なぜでしょうか？,1段目から飛び降りたから,本当は飛び降りていないから,,,★★★☆☆,
お酒は20歳から、選挙に投票できるのは18歳からです。では、自動車に乗れるのは何歳からでしょうか？,0歳,18歳,,,★★☆☆☆,
ボロボロの小屋の扉が風もないのにとじたり、しまったりしています。なぜでしょうか？,何も起こっていない,誰かがいるから,,,★★★☆☆,
学校で非常ベルが鳴りました。みんなが最初にすることはなんでしょうか？,びっくりした,机の下に隠れた,,,★★☆☆☆,
父親と息子が一緒に出掛けましたが、突然雨が降って来たので息子の髪はびしょぬれです。でも、父親の髪は濡れていません。なぜでしょうか？,髪がないから,帽子を被っていたから,,,★★☆☆☆,
中国語はどこの国の言葉でしょうか？,日本,中国,,,★★★★☆,
ナイル川と万里の長城どっちが長い？,万里の長城,ナイル川,,,★★★★☆,
電話ボックスの中にある鏡は何のためにあるでしょうか？,後ろに人が並んでいるのを確認するため,身だしなみをチェックするため,,,★★☆☆☆,
南極と北極、寒いのはどっちでしょうか？,南極,北極,,,★★★☆☆,
「白髪を抜くと白髪が増える」という話は有名ですが、実際にはどうでしょうか？,増えることはない,本当に増える,,,★★☆☆☆,
野球のホームベースは現在はゴム製ですが、昔は違いました。昔は何でできていたでしょうか？,大理石,貝,,,★★★★☆,
使い捨てのカイロをすぐに温める方法はなんでしょうか？,息を吹きかける,揉む,,,★★★★☆,
ブタの形の貯金箱が生れた国はどこでしょうか？,イギリス,日本,,,★★★☆☆,
「鮎」これ何と読む？,あゆ,さけ,,,★★★★★,
「鮪」これ何と読む？,まぐろ,たい,,,★★★★☆,
「鰻」これ何と読む？,うなぎ,えつ,,,★★★☆☆,
かくれんぼで鬼が勝手に帰ると罪に問われるか？マルかバツか？　　,〇,✕,,,★★★★☆,
小便小僧だけではなく、小便少女もいる。マルかバツか？,〇,✕,,,★★★☆☆,
自由の女神は裸足である？マルかバツか？,✕,〇,,,★★★☆☆,
CMを略さずに言うと「コマーシャル」である。マルかバツか？,✕,〇,,,★★☆☆☆,
パンダのしっぽは黒色。マルかバツか？,✕,〇,,,★★★☆☆,
細菌とウイルス、生物なのは？,細菌,ウイルス,,,★★★★☆,
いまにも泣き出しそうな人がいます。１人はトイレにいて、もう１人はどこにいるでしょう？,居間,リビング,,,★★☆☆☆,
友人の家を訪ねたけど留守だったので、くるまで待つことにしました。どこで待っているでしょうか？,車,ドアの前,,,★★★☆☆,
名古屋から高速道路に乗り、東京まで時速150kmのスピードで走りました1時間後にはどの辺りにいるでしょうか？。,警察署,東京,,,★☆☆☆☆,
400円持って行って200円のお菓子を買いました。おつりはいくらでしょうか？,0円,200円,,,★★★☆☆,
つよし君とあつし君は血のつながった兄弟で、生年月日も一緒です。しかし双子ではありません。なぜでしょうか？,三つ子以上だから,本当は兄弟じゃないから,,,★★★☆☆,
小屋の扉が風で開いてしまったのを確認しました。しかし、しめることができません。なぜでしょうか？,閉まっているから,扉が風で飛んでなくなっていたから,,,★★☆☆☆,
サザエさんのタラちゃんのお姉ちゃんは誰でしょうか？,お姉ちゃんはいない,ワカメちゃん,,,★★★☆☆,
日本人口第3位の都道府県はどこ？,大阪府,神奈川県,,,★★★★☆,
世界人口ランキング第1位,インド,中国,,,★★☆☆☆,
足が遅いA君は70キロもあるのに、1分で走ってしまいました。なぜでしょうか？,短い距離を走ったから,車に乗っていたから,,,★★★☆☆,
心臓を3つ持っている生き物は？,タコ,くじら,,,★★☆☆☆,
喉が痛い時に食べるといいお菓子は？,マシュマロ,チョコレート,,,★★★☆☆,
学校から10メートル離れた家は、誰の家でしょう,先生,家族,,,★★☆☆☆,